name,homepage,citations,hindex,i10index,affiliation,score
Sunwoo Hong,https://scholar.google.co.kr/citations?user=Upnps1EAAAAJ&hl=en,,,,,82.112
Se-Young Yun,https://scholar.google.co.kr/citations?user=X_IAjb8AAAAJ&hl=en,,,,,73.566
Hyeji Kim,https://scholar.google.com/citations?user=uK5wa_EAAAAJ&hl=en,,,,,44.318
Ran Xu,https://scholar.google.com/citations?user=8973V0wAAAAJ&hl=en,,,,,56.478
Carl Yang,https://scholar.google.com/citations?user=8973V0wAAAAJ&hl=en,,,,,56.478
Yuanbin Wu,https://scholar.google.com/citations?user=8973V0wAAAAJ&hl=en,,,,,56.478
Junyong Lee,https://scholar.google.com/citations?user=8973V0wAAAAJ&hl=en,,,,,56.478
Jinwoo Park,https://scholar.google.com/citations?user=m3eDp7kAAAAJ&hl=en,,,,,146.553
Lianghao Xia,https://scholar.google.com/citations?user=fDDjoUEAAAAJ&hl=en,,,,,106.024
YuanHao Xiang,https://scholar.google.com/citations?user=8973V0wAAAAJ&hl=en,,,,,56.478
Yishuai Cai,https://scholar.google.com/citations?user=8973V0wAAAAJ&hl=en,,,,,56.478
Xingtao Wang,https://scholar.google.com/citations?user=8973V0wAAAAJ&hl=en,,,,,56.478
Hao Dong,https://scholar.google.com/citations?user=xLFL4sMAAAAJ&hl=en,,,,,108.4
Yaodong Yang,https://scholar.google.com/citations?user=tyIGaZ8AAAAJ&hl=en,,,,,78.849
Xiaopeng Fan,https://scholar.google.com/citations?user=4LsZhDgAAAAJ&hl=en,,,,,78.686
Guy Van den Broeck,https://scholar.google.cl/citations?user=d0KQ9z0AAAAJ&hl=en,,,,,108.983
Rakshit Trivedi,https://scholar.google.com/citations?user=Jq1MCAYAAAAJ&hl=en,,,,,31.81
David C. Parkes,https://scholar.google.com/citations?user=JUn8PgwAAAAJ&hl=nl,,,,,168.0
Lin Yang,https://scholar.google.co.uk/citations?user=9mlsUEoAAAAJ&hl=nl,,,,,66.0
Jie Wang,https://scholar.google.com/citations?user=OugG4dUAAAAJ&hl=en,,,,,77.268
Kehan Wang,https://scholar.google.com/citations?user=8973V0wAAAAJ&hl=en,,,,,56.478
Bin Wang,https://scholar.google.com/citations?user=tDajnHEAAAAJ&hl=en,,,,,120.131
Defu Lian,https://scholar.google.com/citations?user=QW0ad4sAAAAJ&hl=en,,,,,137.044
Bin Li,https://scholar.google.com/citations?user=ezERNR4AAAAJ&hl=en,,,,,45.445
Enhong Chen,https://scholar.google.co.uk/citations?user=40coXH4AAAAJ&hl=en,,,,,60.538
Hugo Negrel,https://scholar.google.com/citations?user=8973V0wAAAAJ&hl=en,,,,,56.478
Eric Vanden-Eijnden,https://scholar.google.com/citations?user=A5Gx65gAAAAJ&hl=en,,,,,186.133
Jin Wang,https://scholar.google.com/citations?user=EMRliDsAAAAJ&hl=en,,,,,120.482
Shifeng Zhang,https://scholar.google.com/citations?user=1rbNk5oAAAAJ,,,,,92.011
Zhenguo Li,https://scholar.google.co.uk/citations?user=VZHxoh8AAAAJ&hl=en,,,,,172.892
Ping Luo,https://scholar.google.com/citations?user=aXdjxb4AAAAJ&hl=en,,,,,304.0
Yasar Utku Alcalar,https://scholar.google.com/citations?user=8973V0wAAAAJ&hl=en,,,,,56.478
Merve Gulle,https://scholar.google.com/citations?user=8973V0wAAAAJ&hl=en,,,,,56.478
Mehmet Akcakaya,https://scholar.google.com/citations?user=x-q3XC4AAAAJ&hl=en,,,,,87.426
Danny Driess,https://scholar.google.com/citations?user=wxnzyjwAAAAJ&hl=en,,,,,97.598
Jost Tobias Springenberg,https://scholar.google.com/citations?user=cCYTVWQAAAAJ&hl=en,,,,,71.528
LILI YU,https://scholar.google.com/citations?user=wY932-AAAAAJ&hl=en,,,,,67.841
Adrian Li-Bell,https://scholar.google.com/citations?user=y5CYHvoAAAAJ&hl=en,,,,,100.06700000000001
Karl Pertsch,https://scholar.google.com/citations?user=3oe0I0QAAAAJ&hl=en,,,,,83.885
Allen Z. Ren,https://scholar.google.ae/citations?user=mgMzkYMAAAAJ&hl=en,,,,,40.355
Quan Vuong,https://scholar.google.com/citations?user=NSWI3OwAAAAJ&hl=en,,,,,99.617
Yifan Cheng,https://scholar.google.com/citations?user=PMeFEOIAAAAJ&hl=en,,,,,50.92
Hye-jin Shim,https://scholar.google.com/citations?user=MSIvlNoAAAAJ&hl=en,,,,,48.552
Samuele Cornell,https://scholar.google.com/citations?user=E_a3VB4AAAAJ&hl=en,,,,,49.084
Yiwen Zhao,https://scholar.google.co.uk/citations?user=dYhN8FIAAAAJ&hl=en,,,,,168.613
Siddhant Arora,https://scholar.google.com/citations?user=U5xRA6QAAAAJ&hl=en,,,,,234.851
Shinji Watanabe,https://scholar.google.com.sg/citations?user=U5xRA6QAAAAJ&hl=en,,,,,234.851
Seunghyeok Shin,https://scholar.google.com/citations?user=8973V0wAAAAJ&hl=en,,,,,56.478
Dabin Kim,https://scholar.google.co.uk/citations?user=6CJeyYUAAAAJ&hl=en,,,,,50.473
Mahdi Soltanolkotabi,https://scholar.google.com/citations?user=narJyMAAAAAJ&hl=en,,,,,110.48
Trong Nghia Hoang,https://scholar.google.com/citations?user=E-kZZeQAAAAJ&hl=en,,,,,48.911
George Rapakoulias,https://scholar.google.com/citations?user=8973V0wAAAAJ&hl=en,,,,,56.478
Fengjiao Liu,https://scholar.google.com/citations?user=TNsLn_QAAAAJ&hl=en,,,,,97.92699999999999
Lingjiong Zhu,https://scholar.google.com.co/citations?user=Z9JkFaoAAAAJ&hl=en,,,,,62.69
Panagiotis Tsiotras,https://scholar.google.com/citations?user=cyRBMkkAAAAJ&hl=en,,,,,77.163
Xingliang Wang,https://scholar.google.com/citations?user=8973V0wAAAAJ&hl=en,,,,,56.478
Jiajun Wu,https://scholar.google.co.uk/citations?user=WzMKIOQAAAAJ&hl=en,,,,,42.328
Daniel LK Yamins,https://scholar.google.com/citations?user=8973V0wAAAAJ&hl=en,,,,,56.478
Angela McCarthy,https://scholar.google.com/citations?user=8973V0wAAAAJ&hl=en,,,,,56.478
Gabriel Gomide,https://scholar.google.com/citations?user=8973V0wAAAAJ&hl=en,,,,,56.478
